,,Name,상장주식수(주),최대주주등-대표주주명(Q),최대주주등-세부주주수(Q)(명),최대주주및특별관계자 보유주식수(보통)(주),최대주주및특별관계자 보유주식수(우선)(주),최대주주등-잠재주식수(Q),최대주주등-주권의 지분율(Q)(%),최대주주등-주식등 총지분율(Q)(%)
12750,,에스원,37999178,일본SECOM,1,9747383,,,25.65,25.65
130960,,CJ E&M,38732089,씨제이(주),6,16601814,,,42.86,42.86
120,,CJ대한통운,22812344,CJ제일제당,3,9163522,,,40.17,40.17
241560,,두산밥캣,100249166,두산인프라코어,4,66069520,,,65.91,65.91
10060,,OCI,23849371,이수영,32,6864198,,,28.78,28.78
16360,,삼성증권,89300000,삼성생명보험(주),4,26484725,,,29.66,29.66
6360,,GS건설,72797358,허창수,19,20592395,,,28.73,28.73
138930,,BNK금융지주,325935246,국민연금공단,1,37604467,,,11.54,11.54
11070,,LG이노텍,23667107,엘지전자(주),2,9653681,,,40.79,40.79
79440,,아이엔지생명,82000000,라이프투자 유한회사,1,48500000,,,59.15,59.15
282330,,BGF리테일,17283906,홍석조,27,8697750,,,50.32,50.32
68760,,셀트리온제약,34044492,셀트리온,22,18608264,,127445,55.81,56.2
1450,,현대해상,89400000,정몽윤,5,19899000,,,22.26,22.26
11780,,금호석유,30467691,박철완,6,7526025,,,24.7,24.7
263750,,펄어비스,12667000,김대일,7,5599226,,546500,46.4,50.93
3490,,대한항공,94844634,한진칼,10,31634023,59706,,33.4,33.4
3410,,쌍용양회,100771919,한앤코시멘트홀딩스,6,78300754,,,77.7,77.7
100,,유한양행,12209354,유한재단,3,1810851,14065,,15.52,15.52
42660,,대우조선해양,107205752,한국산업은행,9,74693262,,56623915,70.03,80.42
7070,,GS리테일,77000000,GS,2,50634640,,,65.76,65.76
210,,대림산업,34800000,(주)대림코퍼레이션,7,8044506,233197,,23.12,23.12
47050,,포스코대우,123375149,(주)포스코,5,78028117,,,63.24,63.24
28670,,팬오션,534545414,제일홀딩스,33,314375437,,,58.81,58.81
880,,한화,74958735,김승연,11,27025779,2763233,,36.05,36.05
253450,,스튜디오드래곤,28037240,CJ E&amp;M,7,21211810,,94700,75.66,75.99
39490,,키움증권,22099740,(주)다우기술,5,10568916,,,47.82,47.82
6260,,LS,32200000,구자열,40,10759609,,,33.41,33.41
6280,,녹십자,11686538,녹십자홀딩스,16,6063461,,,51.88,51.88
7310,,오뚜기,3440000,함영준,27,2136240,,,62.1,62.1
26960,,동서,99700000,김상헌,40,66944032,,,67.15,67.15
9240,,한샘,23533928,조창걸,27,7746550,,,32.92,32.92
47040,,대우건설,415622638,한국산업은행,1,210931209,,,50.75,50.75
8560,,메리츠종금증권,605641072,메리츠금융지주,5,276610204,,,45.67,45.67
69960,,현대백화점,23402441,정지선,8,8446438,,18045,36.09,36.14
69620,,대웅제약,11586575,(주)대웅,7,5817545,,,50.21,50.21
78340,,컴투스,12866420,게임빌,6,3157860,,2199,24.54,24.56
64350,,현대로템,85000000,현대자동차(주),4,36866731,,,43.37,43.37
3670,,포스코켐텍,59070000,(주)포스코,2,38395500,,,65,65
17800,,현대엘리베이,27158266,현정은,18,6430003,,1697103,26.1,30.88
30000,,제일기획,115041225,삼성전자(주),6,32727875,,,28.45,28.45
95700,,제넥신,20394384,한독,1,3900805,,,19.44,19.44
16170,,카카오M,25291705,카카오,2,17136787,,,67.76,67.76
60,,메리츠화재,110338000,메리츠금융지주,12,57778749,,,52.37,52.37
10120,,LS산전,30000000,LS,1,13800000,,,46,46
950160,,코오롱티슈진(Reg.S),60899060,(주)코오롱,9,37781140,,140000,62.5,62.73
42670,,두산인프라코어,208147598,두산중공업(주),9,75551580,,7383084,36.32,38.51
145020,,휴젤,4358205,Leguh Issuer Designated Activity Company,6,1934625,,326724,44.91,49.36
150,,두산,19198003,박용곤,36,9369395,1935997,,49.36,49.36
138040,,메리츠금융지주,140224314,조정호,11,96881852,,,67.8,67.8
34020,,두산중공업,106463271,(주)두산,18,43996674,,3925095,37.15,39.17
10620,,현대미포조선,20000000,현대삼호중공업(주),5,8559620,,,42.8,42.8
4370,,농심,6082642,(주)농심홀딩스,5,2766922,,,45.49,45.49
204320,,만도,46957120,한라홀딩스,11,2844952,,,30.29,30.29
71840,,롯데하이마트,23607712,롯데쇼핑(주),6,15431207,,4380,65.37,65.38
51600,,한전KPS,45000000,한국전력공사,1,22952000,,,51,51
36490,,SK머티리얼즈,10547673,SK(주),2,5178545,,,49.1,49.1
139130,,DGB금융지주,169145833,삼성생명보험(주),1,11755894,,,6.95,6.95
5250,,녹십자홀딩스,47028210,허일섭,30,19977357,49390,,42.48,42.48
41960,,코미팜,55290573,양용진,10,21553192,,149241,39.13,39.29
34230,,파라다이스,90942672,파라다이스글로벌,15,42725827,,,46.98,46.98
240,,한국타이어월드와이드,93020173,조양래,13,68763857,,,73.92,73.92
4000,,롯데정밀화학,25800000,롯데케미칼,1,8031190,,,31.13,31.13
7390,,네이처셀,52936399,알바이오,8,13389588,,,25.34,25.34
11200,,현대상선,311805827,한국산업은행,2,55143147,,162030816,17.69,45.83
114090,,GKL,61855670,한국관광공사,1,31546392,,,51,51
120110,,코오롱인더,25665071,(주)코오롱,17,9461543,229349,1922725,36.88,41.29
161890,,한국콜마,21104461,한국콜마홀딩스,23,4918536,,534483,23.31,25.2
267270,,현대건설기계,9876295,현대로보틱스,5,3561966,,,36.07,36.07
81660,,휠라코리아,61115070,에이치엠앤드디홀딩스,4,2459058,,,20.12,20.12
9420,,한올바이오파마,52240638,(주)대웅제약,6,20195359,,,38.66,38.66
192820,,코스맥스,10049509,코스맥스비티아이,5,2615413,,,26.03,26.03
6650,,대한유화,6500000,이순규,13,2683384,,,41.28,41.28
20150,,일진머티리얼즈,46000000,허재명,4,25956822,,,56.43,56.43
670,,영풍,1842040,장세준,27,1442866,,,78.33,78.33
3690,,코리안리,120369116,장인순,7,26905820,,,22.35,22.35
3520,,영진약품,182892731,(주)케이티앤지,1,95928655,,,52.45,52.45
12450,,한화에어로스페이스,52600000,(주)한화,3,17195733,,,32.69,32.69
5440,,현대그린푸드,97704482,정교선,5,36813506,,,37.68,37.68
1800,,오리온홀딩스,62644053,이화경,5,39966179,,,63.8,63.8
11790,,SKC,37534555,SK(주),10,15651926,,,41.7,41.7
79160,,CJ CGV,21161313,씨제이(주),1,8257000,,,39.02,39.02
80,,하이트진로,70133611,하이트진로홀딩스,16,37744082,215263,452728,53.82,54.46
240810,,원익IPS,41273436,원익홀딩스,7,13716156,,94000,33.23,33.46
42000,,카페24,8858157,,,,,,,
3240,,태광산업,1113400,이호진,11,478860,,,43.01,43.01
1440,,대한전선,856473009,(주)니케,14,772989151,,,90.25,90.25
111770,,영원무역,44311468,영원무역홀딩스,9,22526413,,,50.84,50.84
35760,,CJ오쇼핑,6215518,씨제이(주),2,2505905,,,40.32,40.32
115390,,락앤락,55000000,Consumer Strength Limited,7,35031357,,,63.69,63.69
3000,,부광약품,48870283,김동연,12,11684965,,,26.22,26.22
12510,,더존비즈온,29672700,김용우,18,11240646,,,37.88,37.88
214320,,이노션,20000000,정성이,3,7799000,,,39,39
11210,,현대위아,27195083,현대자동차(주),4,11079695,,,40.74,40.74
178920,,SKC코오롱PI,29366322,에스케이씨(주),2,7940700,,,27.04,27.04
98460,,고영,13687951,고영홀딩스,13,2390956,,10000,17.47,17.54
181710,,NHN엔터테인먼트,19565025,이준호,32,9342071,,132897,47.75,48.43
57050,,현대홈쇼핑,12000000,(주)현대백화점,4,4901090,,,40.84,40.84
56190,,에스에프에이,35908760,(주)디와이홀딩스,6,16620660,,,46.29,46.29
89590,,제주항공,26356758,AK홀딩스,10,15795807,,1517,59.93,59.94
180640,,한진칼,59170458,조양호,13,17135987,16614,,28.98,28.98
18250,,애경산업,26218335,,,,,,,
69260,,휴켐스,40878588,태광실업,8,17795321,,,43.53,43.53
5300,,롯데칠성,799346,롯데지주(주),11,410979,32123,,51.41,51.41
52690,,한전기술,38220000,한국전력공사,3,25926757,,,67.84,67.84
46890,,서울반도체,58305400,이정훈,4,19935820,,,34.19,34.19
1740,,SK네트웍스,248187647,SK(주),6,99853528,,,40.23,40.23
36830,,솔브레인,17398271,정지완,7,7210504,,,41.44,41.44
3090,,대웅,58141980,윤재승,13,22241730,,,38.25,38.25
5690,,파미셀,59056970,김현수,7,5810241,,300000,9.95,10.46
2350,,넥센타이어,97667877,넥센,3,63864517,,,65.39,65.39
82640,,동양생명,161358585,"Anbang Life Insurance Co., Ltd.",3,121575627,,,75.35,75.35
9410,,태영건설,76400000,윤석민,5,29473580,,,38.58,38.58
226320,,잇츠한불,21929315,임병철,8,13512050,,,61.62,61.62
3300,,한일시멘트,7545313,허기호,20,3489447,,,46.25,46.25
66970,,엘앤에프,24742675,(주)새로닉스,15,7369520,,152635,29.98,30.6
31430,,신세계인터내셔날,7140000,(주)신세계,6,4857509,,,68.03,68.03
28150,,GS홈쇼핑,6562500,GS,1,2368900,,,36.1,36.1
39130,,하나투어,11616185,박상환,24,1708909,,,14.71,14.71
27410,,BGF,95369179,홍석조,25,16233270,,,50.31,50.31
49950,,미래컴퍼니,7864540,김준구,4,3909043,,,51.03,51.03
23590,,다우기술,44866617,(주)다우데이타시스템,11,17585208,,,39.19,39.19
185750,,종근당,9879236,종근당홀딩스,7,3183600,,,33.84,33.84
6040,,동원산업,3363200,(주)동원엔터프라이즈,7,2015239,,,59.92,59.92
22100,,포스코 ICT,152034729,(주)포스코,6,100729832,,,66.25,66.25
103140,,풍산,28024278,풍산홀딩스,3,10129534,,,36.15,36.15
3380,,제일홀딩스,70718000,김홍국,13,47038480,,,66.52,66.52
69080,,웹젠,35310884,김병관,3,9602662,,,27.19,27.19
192080,,더블유게임즈,18160276,김가람,7,7547393,,756177,42.89,47.19
38540,,상상인,47748397,유준원,3,14638620,,,30.66,30.66
1120,,LG상사,38760000,(주)엘지,5,10190990,,,26.29,26.29
85660,,차바이오텍,52123929,차광렬,28,13074764,,2370369,25.51,28.91
6840,,AK홀딩스,13247561,채형석,24,8593637,,4052,64.87,64.9
20560,,아시아나항공,205235294,금호산업(주),4,68716243,,,33.48,33.48
250,,삼천당제약,22105813,(주)소화,2,8457218,,,38.26,38.26
85620,,미래에셋생명,177016189,미래에셋대우,35,66759676,,1500000,45.98,47.02
79550,,LIG넥스원,22000000,엘아이지,11,10250800,,,46.59,46.59
284740,,쿠쿠홈시스,4487466,,,,,,,
70,,삼양홀딩스,8564271,김원,28,3708034,,,43.3,43.3
5610,,SPC삼립,8629009,(주)파리크라상,4,6284830,,,72.83,72.83
115450,,지트리비앤티,23222432,유양디앤유,1,2734924,,,11.82,11.82
285130,,SK케미칼,11579852,,,,,,,
108230,,톱텍,36796254,이재환,3,16549890,,,45.87,45.87
73240,,금호타이어,157993158,(주)우리은행,9,66368844,,,42.01,42.01
20000,,한섬,24630000,현대홈쇼핑,1,8532763,,,34.64,34.64
214370,,케어젠,10743000,정용지,3,6816192,,15000,63.45,63.59
200230,,텔콘RF제약,76692219,엠마우스생명과학,1,6643559,,,9.14,9.14
145720,,덴티움,11068830,정성민,7,2110490,,,19.07,19.07
175330,,JB금융지주,155439423,삼양사,4,13998168,,,9.01,9.01
65660,,안트로젠,7953631,부광약품(주),6,2080101,,,26.15,26.15
18670,,SK가스,9054167,에스케이케미칼(주),5,5000054,,,55.76,55.76
1230,,동국제강,95432737,장세주,14,24032945,,,25.18,25.18
272450,,진에어,30000000,한진칼,1,18000000,,,60,60
39030,,이오테크닉스,12280626,성규동,13,3885712,,,31.64,31.64
58470,,리노공업,15242370,이채윤,1,5283669,,,34.66,34.66
7700,,F&F,15400000,김창수,9,9058461,,,58.82,58.82
14820,,동원시스템즈,25618511,(주)동원엔터프라이즈,5,20709284,97905,,80.9,80.9
6490,,인스코비,87900675,밀레니엄홀딩스,11,11063878,,800000,12.68,13.59
10780,,아이에스동서,30827811,아이에스지주,5,16832376,,50426,54.6,54.77
41510,,에스엠,21858063,이수만,5,4392368,,19500,20.19,20.26
32350,,롯데관광개발,45395023,김기병,5,37613896,,,82.86,82.86
112040,,위메이드,16800000,박관호,3,7895482,,258557,47,48.54
3470,,유안타증권,199596576,Yuanta Securities Asia Financial Services Limited,4,108239606,,22022000,54.23,58.78
145990,,삼양사,10289803,삼양홀딩스,10,6615229,,,64.29,64.29
1430,,세아베스틸,35862119,(주)세아홀딩스,5,23632769,,,65.9,65.9
93370,,후성,92606819,김용민,9,45770075,,300000,49.53,49.86
36420,,제이콘텐트리,114068982,(주)중앙일보사,2,37907844,,,33.23,33.23
170900,,동아에스티,8443868,강정석,28,3227657,,,38.22,38.22
49770,,동원F&B,3859124,(주)동원엔터프라이즈,2,2750439,,,71.27,71.27
14680,,한솔케미칼,11295195,조동혁,5,1696965,,,15.02,15.02
192400,,쿠쿠홀딩스,5315894,구본학,4,3116330,,,58.62,58.62
90460,,비에이치,31269776,이경환,6,7342430,,200000,23.48,23.97
267260,,현대일렉트릭,10205783,현대로보틱스,6,3846750,,,37.69,37.69
200130,,콜마비앤에이치,29543558,한국콜마홀딩스,6,17666546,,,59.8,59.8
1680,,대상,34648025,대상홀딩스,5,15507183,132032,,44.76,44.76
86520,,에코프로,22090191,이동채,10,3998255,,,18.1,18.1
78160,,메디포스트,7868421,양윤선,4,564886,,,7.19,7.19
93050,,LF,29240000,구본걸,19,11662513,,,39.89,39.89
24720,,한국콜마홀딩스,16748936,윤동한,8,8238637,,,49.19,49.19
5290,,동진쎄미켐,51414494,동진홀딩스,9,16020993,,2696871,31.16,34.59
96530,,씨젠,26234020,천종윤,27,8759253,,,33.39,33.39
102940,,코오롱생명과학,11412356,이웅열,5,2698938,,,35.46,35.46
2270,,롯데푸드,1131870,롯데지주(주),10,545640,,,48.21,48.21
